"","ID","Scenario","car.share"
"1","1","Baseline",42.74
"2","2","Baseline",42.72
"3","3","Baseline",42.39
"4","4","Baseline",41.93
"5","5","Baseline",42.51
"6","6","Baseline",43.19
"7","7","Baseline",43.13
"8","8","Baseline",42.43
"9","9","Baseline",42.69
"10","10","Baseline",42.84
"11","11","Baseline",43.38
"12","12","Baseline",42.92
"13","13","Baseline",42.94
"14","14","Baseline",43.55
"15","15","Baseline",42.82
"16","16","Baseline",43.24
"17","17","Baseline",42.46
"18","18","Baseline",43.1
"19","19","Baseline",42.52
"20","20","Baseline",43.17
"21","21","Baseline",42.62
"22","22","Baseline",42.84
"23","23","Baseline",43.14
"24","24","Baseline",42.99
"25","25","Baseline",42.66
"26","26","Baseline",42.91
"27","27","Baseline",41.72
"28","28","Baseline",42.75
"29","29","Baseline",42.49
"30","30","Baseline",42.6
"31","31","Baseline",43.1
"32","32","Baseline",42.19
"33","33","Baseline",42.54
"34","34","Baseline",43.11
"35","35","Baseline",43.24
"36","36","Baseline",43.21
"37","37","Baseline",42.31
"38","38","Baseline",42.92
"39","39","Baseline",42.73
"40","40","Baseline",42.3
"41","41","Baseline",41.71
"42","42","Baseline",42.26
"43","43","Baseline",42.13
"44","44","Baseline",42.79
"45","45","Baseline",42.16
"46","46","Baseline",42.2
"47","47","Baseline",43.08
"48","48","Baseline",42.96
"49","49","Baseline",43.5
"50","50","Baseline",43.01
"51","51","Baseline",42.59
"52","52","Baseline",42.84
"53","53","Baseline",41.94
"54","54","Baseline",42.66
"55","55","Baseline",42.55
"56","56","Baseline",42.45
"57","57","Baseline",42.26
"58","58","Baseline",42.27
"59","59","Baseline",42.63
"60","60","Baseline",42.68
"61","61","Baseline",42.31
"62","62","Baseline",42.56
"63","63","Baseline",42.96
"64","64","Baseline",43.28
"65","65","Baseline",42.53
"66","66","Baseline",42.83
"67","67","Baseline",41.96
"68","68","Baseline",42.04
"69","69","Baseline",43.32
"70","70","Baseline",43.32
"71","71","Baseline",42.73
"72","72","Baseline",42.32
"73","73","Baseline",42.05
"74","74","Baseline",42.19
"75","75","Baseline",42.57
"76","76","Baseline",43.35
"77","77","Baseline",42.95
"78","78","Baseline",41.65
"79","79","Baseline",42.59
"80","80","Baseline",41.88
"81","81","Baseline",41.67
"82","82","Baseline",42.07
"83","83","Baseline",43.27
"84","84","Baseline",42.48
"85","85","Baseline",43.19
"86","86","Baseline",42.53
"87","87","Baseline",42.68
"88","88","Baseline",43.12
"89","89","Baseline",42.89
"90","90","Baseline",43.46
"91","91","Baseline",42.43
"92","92","Baseline",42.24
"93","93","Baseline",43.22
"94","94","Baseline",42.02
"95","95","Baseline",43.07
"96","96","Baseline",43.08
"97","97","Baseline",42.9
"98","98","Baseline",42.93
"99","99","Baseline",43.46
"100","100","Baseline",42.46
"101","101","Baseline",41.75
"102","102","Baseline",43.43
"103","103","Baseline",42.4
"104","104","Baseline",42.14
"105","105","Baseline",42.54
"106","106","Baseline",42.36
"107","107","Baseline",42.95
"108","108","Baseline",41.79
"109","109","Baseline",42.23
"110","110","Baseline",42.62
"111","111","Baseline",42.78
"112","112","Baseline",42.54
"113","113","Baseline",41.69
"114","114","Baseline",42.68
"115","115","Baseline",42.54
"116","116","Baseline",42.42
"117","117","Baseline",43.04
"118","118","Baseline",43.47
"119","119","Baseline",42
"120","120","Baseline",42.91
"121","121","Baseline",42.93
"122","122","Baseline",42.8
"123","123","Baseline",42.92
"124","124","Baseline",42.16
"125","125","Baseline",42.31
"126","126","Baseline",42.26
"127","127","Baseline",41.76
"128","128","Baseline",41.91
"129","129","Baseline",43.22
"130","130","Baseline",43.23
"131","131","Baseline",42.86
"132","132","Baseline",43.29
"133","133","Baseline",42.23
"134","134","Baseline",43.07
"135","135","Baseline",42.09
"136","136","Baseline",42.85
"137","137","Baseline",42.41
"138","138","Baseline",42.74
"139","139","Baseline",42.18
"140","140","Baseline",42.99
"141","141","Baseline",43.13
"142","142","Baseline",42.6
"143","143","Baseline",42.88
"144","144","Baseline",42.11
"145","145","Baseline",43.48
"146","146","Baseline",42.91
"147","147","Baseline",42.13
"148","148","Baseline",43.19
"149","149","Baseline",41.66
"150","150","Baseline",42.03
"151","151","Baseline",41.55
"152","152","Baseline",43.41
"153","153","Baseline",42.48
"154","154","Baseline",41.81
"155","155","Baseline",42.62
"156","156","Baseline",43.33
"157","157","Baseline",42.44
"158","158","Baseline",41.65
"159","159","Baseline",41.98
"160","160","Baseline",42.62
"161","161","Baseline",42.21
"162","162","Baseline",42.92
"163","163","Baseline",42.09
"164","164","Baseline",42.63
"165","165","Baseline",42.49
"166","166","Baseline",42.31
"167","167","Baseline",41.94
"168","168","Baseline",43.22
"169","169","Baseline",42.6
"170","170","Baseline",43.28
"171","171","Baseline",42.71
"172","172","Baseline",42.38
"173","173","Baseline",42.39
