"","ID","Scenario","CO2_emis"
"1","1","Baseline",20.29267578
"2","2","Baseline",20.21899834
"3","3","Baseline",20.19614569
"4","4","Baseline",20.450605805
"5","5","Baseline",20.151035705
"6","6","Baseline",20.09559841
"7","7","Baseline",20.00053489
"8","8","Baseline",20.102186295
"9","9","Baseline",20.144800775
"10","10","Baseline",20.10354884
"11","11","Baseline",20.09485673
"12","12","Baseline",20.17358723
"13","13","Baseline",20.12252665
"14","14","Baseline",19.839939635
"15","15","Baseline",20.20627079
"16","16","Baseline",20.0266083
"17","17","Baseline",20.18965745
"18","18","Baseline",20.40472859
"19","19","Baseline",20.165483135
"20","20","Baseline",20.444027775
"21","21","Baseline",20.102187025
"22","22","Baseline",20.276654835
"23","23","Baseline",20.22266586
"24","24","Baseline",20.2574124
"25","25","Baseline",20.57394332
"26","26","Baseline",20.30366812
"27","27","Baseline",20.17248347
"28","28","Baseline",20.27723117
"29","29","Baseline",20.31472981
"30","30","Baseline",20.330696005
"31","31","Baseline",20.351513415
"32","32","Baseline",20.536246485
"33","33","Baseline",20.124141045
"34","34","Baseline",20.20414503
"35","35","Baseline",20.24299344
"36","36","Baseline",20.43445054
"37","37","Baseline",20.148170455
"38","38","Baseline",20.15339324
"39","39","Baseline",20.20438228
"40","40","Baseline",20.45527379
"41","41","Baseline",20.28190682
"42","42","Baseline",20.118638305
"43","43","Baseline",20.25121908
"44","44","Baseline",20.273229675
"45","45","Baseline",20.1459487
"46","46","Baseline",20.22785105
"47","47","Baseline",20.064967975
"48","48","Baseline",20.391813795
"49","49","Baseline",20.27771662
"50","50","Baseline",20.327691325
"51","51","Baseline",20.326725535
"52","52","Baseline",20.137383245
"53","53","Baseline",20.341797845
"54","54","Baseline",20.45907709
"55","55","Baseline",20.13112605
"56","56","Baseline",20.342224165
"57","57","Baseline",20.268059085
"58","58","Baseline",20.25725034
"59","59","Baseline",20.143142215
"60","60","Baseline",20.15984863
"61","61","Baseline",20.26178364
"62","62","Baseline",20.20405597
"63","63","Baseline",20.26737106
"64","64","Baseline",20.50331874
"65","65","Baseline",20.2978325
"66","66","Baseline",20.115639465
"67","67","Baseline",20.11369292
"68","68","Baseline",20.383842925
"69","69","Baseline",20.188421195
"70","70","Baseline",20.38579166
"71","71","Baseline",19.973410645
"72","72","Baseline",20.337552895
"73","73","Baseline",20.36390845
"74","74","Baseline",20.315119995
"75","75","Baseline",20.22629542
"76","76","Baseline",20.239473015
