"","ID","Scenario","elec.share"
"1","1","Baseline",0.4
"2","2","Baseline",0.59
"3","3","Baseline",0.37
"4","4","Baseline",0.46
"5","5","Baseline",0.37
"6","6","Baseline",0.49
"7","7","Baseline",0.47
"8","8","Baseline",0.42
"9","9","Baseline",0.41
"10","10","Baseline",0.43
"11","11","Baseline",0.47
"12","12","Baseline",0.42
"13","13","Baseline",0.42
"14","14","Baseline",0.5
"15","15","Baseline",0.45
"16","16","Baseline",0.35
"17","17","Baseline",0.39
"18","18","Baseline",0.52
"19","19","Baseline",0.35
"20","20","Baseline",0.36
"21","21","Baseline",0.49
"22","22","Baseline",0.46
"23","23","Baseline",0.39
"24","24","Baseline",0.48
"25","25","Baseline",0.38
"26","26","Baseline",0.43
"27","27","Baseline",0.42
"28","28","Baseline",0.49
"29","29","Baseline",0.54
"30","30","Baseline",0.41
"31","31","Baseline",0.36
"32","32","Baseline",0.39
"33","33","Baseline",0.42
"34","34","Baseline",0.42
"35","35","Baseline",0.44
"36","36","Baseline",0.41
"37","37","Baseline",0.49
"38","38","Baseline",0.43
"39","39","Baseline",0.51
"40","40","Baseline",0.44
"41","41","Baseline",0.47
"42","42","Baseline",0.45
"43","43","Baseline",0.32
"44","44","Baseline",0.43
"45","45","Baseline",0.41
"46","46","Baseline",0.39
"47","47","Baseline",0.51
"48","48","Baseline",0.32
"49","49","Baseline",0.41
"50","50","Baseline",0.38
"51","51","Baseline",0.4
"52","52","Baseline",0.45
"53","53","Baseline",0.42
"54","54","Baseline",0.43
"55","55","Baseline",0.3
"56","56","Baseline",0.51
"57","57","Baseline",0.41
"58","58","Baseline",0.42
"59","59","Baseline",0.43
"60","60","Baseline",0.34
"61","61","Baseline",0.36
"62","62","Baseline",0.43
"63","63","Baseline",0.39
"64","64","Baseline",0.44
"65","65","Baseline",0.29
"66","66","Baseline",0.32
"67","67","Baseline",0.33
"68","68","Baseline",0.43
"69","69","Baseline",0.52
"70","70","Baseline",0.5
"71","71","Baseline",0.53
"72","72","Baseline",0.46
"73","73","Baseline",0.55
"74","74","Baseline",0.55
"75","75","Baseline",0.43
"76","76","Baseline",0.42
"77","77","Baseline",0.36
"78","78","Baseline",0.35
"79","79","Baseline",0.38
"80","80","Baseline",0.44
"81","81","Baseline",0.44
"82","82","Baseline",0.42
"83","83","Baseline",0.39
"84","84","Baseline",0.42
"85","85","Baseline",0.39
"86","86","Baseline",0.45
"87","87","Baseline",0.55
"88","88","Baseline",0.41
"89","89","Baseline",0.42
"90","90","Baseline",0.48
"91","91","Baseline",0.54
"92","92","Baseline",0.39
"93","93","Baseline",0.39
"94","94","Baseline",0.61
"95","95","Baseline",0.48
"96","96","Baseline",0.47
"97","97","Baseline",0.43
"98","98","Baseline",0.4
"99","99","Baseline",0.43
"100","100","Baseline",0.35
"101","101","Baseline",0.4
"102","102","Baseline",0.5
"103","103","Baseline",0.39
"104","104","Baseline",0.48
"105","105","Baseline",0.53
"106","106","Baseline",0.42
"107","107","Baseline",0.42
"108","108","Baseline",0.44
"109","109","Baseline",0.46
"110","110","Baseline",0.46
"111","111","Baseline",0.42
"112","112","Baseline",0.43
"113","113","Baseline",0.33
"114","114","Baseline",0.47
"115","115","Baseline",0.52
"116","116","Baseline",0.51
"117","117","Baseline",0.53
"118","118","Baseline",0.5
"119","119","Baseline",0.41
"120","120","Baseline",0.41
"121","121","Baseline",0.44
"122","122","Baseline",0.41
"123","123","Baseline",0.43
"124","124","Baseline",0.37
"125","125","Baseline",0.4
"126","126","Baseline",0.41
"127","127","Baseline",0.34
"128","128","Baseline",0.51
"129","129","Baseline",0.44
"130","130","Baseline",0.43
"131","131","Baseline",0.35
"132","132","Baseline",0.51
"133","133","Baseline",0.38
"134","134","Baseline",0.34
"135","135","Baseline",0.51
"136","136","Baseline",0.45
"137","137","Baseline",0.55
"138","138","Baseline",0.46
"139","139","Baseline",0.43
"140","140","Baseline",0.47
"141","141","Baseline",0.48
"142","142","Baseline",0.38
"143","143","Baseline",0.32
"144","144","Baseline",0.41
"145","145","Baseline",0.44
"146","146","Baseline",0.39
"147","147","Baseline",0.38
"148","148","Baseline",0.25
"149","149","Baseline",0.55
"150","150","Baseline",0.32
"151","151","Baseline",0.41
"152","152","Baseline",0.45
"153","153","Baseline",0.41
"154","154","Baseline",0.49
"155","155","Baseline",0.5
"156","156","Baseline",0.4
"157","157","Baseline",0.43
"158","158","Baseline",0.44
"159","159","Baseline",0.33
"160","160","Baseline",0.46
"161","161","Baseline",0.48
"162","162","Baseline",0.54
"163","163","Baseline",0.49
"164","164","Baseline",0.49
"165","165","Baseline",0.43
"166","166","Baseline",0.27
"167","167","Baseline",0.51
"168","168","Baseline",0.4
"169","169","Baseline",0.42
"170","170","Baseline",0.43
"171","171","Baseline",0.29
"172","172","Baseline",0.33
"173","173","Baseline",0.45
"174","174","Baseline",0.53
"175","175","Baseline",0.41
"176","176","Baseline",0.44
"177","177","Baseline",0.47
"178","178","Baseline",0.41
"179","179","Baseline",0.46
"180","180","Baseline",0.39
"181","181","Baseline",0.35
"182","182","Baseline",0.45
"183","183","Baseline",0.49
"184","184","Baseline",0.36
"185","185","Baseline",0.44
"186","186","Baseline",0.41
"187","187","Baseline",0.38
"188","188","Baseline",0.25
"189","189","Baseline",0.45
"190","190","Baseline",0.36
"191","191","Baseline",0.37
"192","192","Baseline",0.43
"193","193","Baseline",0.32
"194","194","Baseline",0.44
"195","195","Baseline",0.54
"196","196","Baseline",0.45
"197","197","Baseline",0.4
"198","198","Baseline",0.36
"199","199","Baseline",0.45
"200","200","Baseline",0.29
"201","201","Baseline",0.38
"202","202","Baseline",0.36
"203","203","Baseline",0.44
"204","204","Baseline",0.42
"205","205","Baseline",0.32
"206","206","Baseline",0.4
"207","207","Baseline",0.47
"208","208","Baseline",0.49
"209","209","Baseline",0.41
"210","210","Baseline",0.48
"211","211","Baseline",0.35
"212","212","Baseline",0.39
"213","213","Baseline",0.58
"214","214","Baseline",0.46
"215","215","Baseline",0.35
"216","216","Baseline",0.44
"217","217","Baseline",0.48
"218","218","Baseline",0.37
"219","219","Baseline",0.42
"220","220","Baseline",0.5
"221","221","Baseline",0.46
"222","222","Baseline",0.4
"223","223","Baseline",0.45
"224","224","Baseline",0.51
"225","225","Baseline",0.52
"226","226","Baseline",0.4
"227","227","Baseline",0.32
"228","228","Baseline",0.46
"229","229","Baseline",0.5
"230","230","Baseline",0.39
"231","231","Baseline",0.32
"232","232","Baseline",0.37
"233","233","Baseline",0.45
"234","234","Baseline",0.51
"235","235","Baseline",0.44
"236","236","Baseline",0.31
