"","ID","Scenario","hy.share"
"1","1","Baseline",0.39
"2","2","Baseline",0.5
"3","3","Baseline",0.35
"4","4","Baseline",0.45
"5","5","Baseline",0.45
"6","6","Baseline",0.52
"7","7","Baseline",0.36
"8","8","Baseline",0.44
"9","9","Baseline",0.48
"10","10","Baseline",0.49
"11","11","Baseline",0.53
"12","12","Baseline",0.38
"13","13","Baseline",0.46
"14","14","Baseline",0.54
"15","15","Baseline",0.43
"16","16","Baseline",0.39
"17","17","Baseline",0.47
"18","18","Baseline",0.43
"19","19","Baseline",0.49
"20","20","Baseline",0.27
"21","21","Baseline",0.33
"22","22","Baseline",0.36
"23","23","Baseline",0.42
"24","24","Baseline",0.43
"25","25","Baseline",0.52
"26","26","Baseline",0.55
"27","27","Baseline",0.51
"28","28","Baseline",0.46
"29","29","Baseline",0.44
"30","30","Baseline",0.43
"31","31","Baseline",0.45
"32","32","Baseline",0.33
"33","33","Baseline",0.42
"34","34","Baseline",0.41
"35","35","Baseline",0.38
"36","36","Baseline",0.47
"37","37","Baseline",0.51
"38","38","Baseline",0.39
"39","39","Baseline",0.37
"40","40","Baseline",0.37
"41","41","Baseline",0.36
"42","42","Baseline",0.44
"43","43","Baseline",0.46
"44","44","Baseline",0.43
"45","45","Baseline",0.48
"46","46","Baseline",0.4
"47","47","Baseline",0.37
"48","48","Baseline",0.4
"49","49","Baseline",0.49
"50","50","Baseline",0.39
"51","51","Baseline",0.36
"52","52","Baseline",0.41
"53","53","Baseline",0.53
"54","54","Baseline",0.38
"55","55","Baseline",0.5
"56","56","Baseline",0.48
"57","57","Baseline",0.45
"58","58","Baseline",0.5
"59","59","Baseline",0.46
"60","60","Baseline",0.48
"61","61","Baseline",0.33
"62","62","Baseline",0.36
"63","63","Baseline",0.44
"64","64","Baseline",0.38
"65","65","Baseline",0.49
"66","66","Baseline",0.45
"67","67","Baseline",0.35
"68","68","Baseline",0.47
"69","69","Baseline",0.39
"70","70","Baseline",0.39
"71","71","Baseline",0.41
"72","72","Baseline",0.52
"73","73","Baseline",0.39
"74","74","Baseline",0.29
"75","75","Baseline",0.56
"76","76","Baseline",0.5
"77","77","Baseline",0.35
"78","78","Baseline",0.5
"79","79","Baseline",0.51
"80","80","Baseline",0.5
"81","81","Baseline",0.49
"82","82","Baseline",0.42
"83","83","Baseline",0.31
"84","84","Baseline",0.38
"85","85","Baseline",0.4
"86","86","Baseline",0.43
"87","87","Baseline",0.5
"88","88","Baseline",0.47
"89","89","Baseline",0.5
"90","90","Baseline",0.42
"91","91","Baseline",0.51
"92","92","Baseline",0.52
"93","93","Baseline",0.45
"94","94","Baseline",0.44
"95","95","Baseline",0.39
"96","96","Baseline",0.44
"97","97","Baseline",0.37
"98","98","Baseline",0.41
"99","99","Baseline",0.36
"100","100","Baseline",0.3
"101","101","Baseline",0.37
"102","102","Baseline",0.39
"103","103","Baseline",0.53
"104","104","Baseline",0.44
"105","105","Baseline",0.54
"106","106","Baseline",0.29
"107","107","Baseline",0.41
"108","108","Baseline",0.42
"109","109","Baseline",0.46
"110","110","Baseline",0.48
"111","111","Baseline",0.4
"112","112","Baseline",0.4
"113","113","Baseline",0.4
"114","114","Baseline",0.37
"115","115","Baseline",0.35
"116","116","Baseline",0.38
"117","117","Baseline",0.51
"118","118","Baseline",0.33
"119","119","Baseline",0.45
"120","120","Baseline",0.49
"121","121","Baseline",0.52
"122","122","Baseline",0.26
"123","123","Baseline",0.32
"124","124","Baseline",0.52
"125","125","Baseline",0.43
"126","126","Baseline",0.47
"127","127","Baseline",0.4
"128","128","Baseline",0.48
"129","129","Baseline",0.37
"130","130","Baseline",0.4
"131","131","Baseline",0.43
"132","132","Baseline",0.44
"133","133","Baseline",0.47
"134","134","Baseline",0.61
"135","135","Baseline",0.43
"136","136","Baseline",0.49
"137","137","Baseline",0.38
"138","138","Baseline",0.47
"139","139","Baseline",0.34
"140","140","Baseline",0.44
"141","141","Baseline",0.35
"142","142","Baseline",0.54
"143","143","Baseline",0.49
"144","144","Baseline",0.3
"145","145","Baseline",0.37
"146","146","Baseline",0.39
"147","147","Baseline",0.35
"148","148","Baseline",0.52
"149","149","Baseline",0.53
"150","150","Baseline",0.52
"151","151","Baseline",0.44
"152","152","Baseline",0.54
"153","153","Baseline",0.48
"154","154","Baseline",0.37
"155","155","Baseline",0.41
"156","156","Baseline",0.29
"157","157","Baseline",0.26
"158","158","Baseline",0.39
"159","159","Baseline",0.45
"160","160","Baseline",0.49
"161","161","Baseline",0.36
"162","162","Baseline",0.39
"163","163","Baseline",0.47
"164","164","Baseline",0.41
"165","165","Baseline",0.4
"166","166","Baseline",0.47
"167","167","Baseline",0.36
"168","168","Baseline",0.4
"169","169","Baseline",0.44
"170","170","Baseline",0.48
"171","171","Baseline",0.6
"172","172","Baseline",0.49
"173","173","Baseline",0.45
"174","174","Baseline",0.46
"175","175","Baseline",0.42
"176","176","Baseline",0.38
"177","177","Baseline",0.41
"178","178","Baseline",0.51
"179","179","Baseline",0.4
"180","180","Baseline",0.36
"181","181","Baseline",0.57
"182","182","Baseline",0.34
"183","183","Baseline",0.48
"184","184","Baseline",0.32
"185","185","Baseline",0.56
"186","186","Baseline",0.44
"187","187","Baseline",0.38
"188","188","Baseline",0.49
"189","189","Baseline",0.41
"190","190","Baseline",0.44
"191","191","Baseline",0.35
"192","192","Baseline",0.57
"193","193","Baseline",0.42
"194","194","Baseline",0.47
"195","195","Baseline",0.44
"196","196","Baseline",0.55
"197","197","Baseline",0.43
"198","198","Baseline",0.36
"199","199","Baseline",0.46
"200","200","Baseline",0.55
"201","201","Baseline",0.45
"202","202","Baseline",0.35
"203","203","Baseline",0.43
"204","204","Baseline",0.4
"205","205","Baseline",0.33
"206","206","Baseline",0.53
"207","207","Baseline",0.48
"208","208","Baseline",0.29
"209","209","Baseline",0.56
"210","210","Baseline",0.36
"211","211","Baseline",0.34
"212","212","Baseline",0.38
"213","213","Baseline",0.45
"214","214","Baseline",0.49
"215","215","Baseline",0.44
"216","216","Baseline",0.28
"217","217","Baseline",0.46
"218","218","Baseline",0.45
"219","219","Baseline",0.47
"220","220","Baseline",0.42
"221","221","Baseline",0.42
"222","222","Baseline",0.45
"223","223","Baseline",0.52
"224","224","Baseline",0.49
"225","225","Baseline",0.32
"226","226","Baseline",0.47
"227","227","Baseline",0.44
"228","228","Baseline",0.38
"229","229","Baseline",0.51
"230","230","Baseline",0.37
"231","231","Baseline",0.4
"232","232","Baseline",0.47
"233","233","Baseline",0.35
"234","234","Baseline",0.58
"235","235","Baseline",0.49
"236","236","Baseline",0.46
"237","237","Baseline",0.42
"238","238","Baseline",0.29
"239","239","Baseline",0.44
"240","240","Baseline",0.42
"241","241","Baseline",0.44
"242","242","Baseline",0.35
"243","243","Baseline",0.45
