"","x"
"1",4
"2",12.5
"3",2
"4",17.5
"5",12.5
"6",32.5
"7",4
"8",42.5
"9",17.5
"10",32.5
"11",4
"12",17.5
"13",22.5
"14",4
"15",6
"16",8.5
"17",2
"18",4
"19",12.5
"20",32.5
"21",12.5
"22",4
"23",2
"24",22.5
"25",22.5
"26",8.5
"27",12.5
"28",32.5
"29",22.5
"30",17.5
"31",4
"32",12.5
"33",8.5
"34",12.5
"35",2
"36",12.5
"37",6
"38",2
"39",2
"40",4
"41",27.5
"42",6
"43",4
"44",2
"45",0.5
"46",8.5
"47",2
"48",8.5
"49",22.5
"50",17.5
"51",17.5
"52",8.5
"53",6
"54",12.5
"55",6
"56",12.5
"57",17.5
"58",17.5
"59",2
"60",0.5
"61",17.5
"62",8.5
"63",17.5
"64",12.5
"65",27.5
"66",27.5
"67",8.5
"68",4
"69",12.5
"70",8.5
"71",12.5
"72",27.5
"73",0.5
"74",2
"75",12.5
"76",2
"77",27.5
"78",52.5
"79",17.5
"80",4
"81",17.5
"82",6
"83",2
"84",17.5
"85",17.5
"86",27.5
"87",6
"88",12.5
"89",12.5
"90",8.5
"91",6
"92",2
"93",2
"94",12.5
"95",2
"96",4
"97",12.5
"98",6
"99",2
"100",17.5
"101",8.5
"102",6
"103",8.5
"104",8.5
"105",2
"106",4
"107",12.5
"108",8.5
"109",8.5
"110",27.5
"111",22.5
"112",17.5
"113",2
"114",4
"115",12.5
"116",4
"117",8.5
"118",12.5
"119",2
"120",0.5
"121",27.5
"122",2
"123",22.5
"124",8.5
"125",2
"126",0.5
"127",17.5
"128",4
"129",27.5
"130",27.5
"131",12.5
"132",32.5
"133",2
"134",8.5
"135",2
"136",2
"137",4
"138",8.5
"139",8.5
"140",17.5
"141",32.5
"142",4
"143",22.5
"144",12.5
"145",17.5
"146",12.5
"147",17.5
"148",12.5
"149",2
"150",0.5
"151",4
"152",52.5
"153",42.5
"154",22.5
"155",4
"156",6
"157",17.5
"158",12.5
"159",8.5
"160",37.5
"161",2
"162",12.5
"163",17.5
"164",6
"165",2
"166",0.5
"167",8.5
"168",8.5
"169",8.5
"170",4
"171",2
"172",8.5
"173",8.5
"174",12.5
"175",27.5
"176",17.5
"177",32.5
"178",0.5
"179",8.5
"180",6
"181",42.5
"182",32.5
"183",47.5
"184",12.5
"185",8.5
"186",2
"187",6
"188",17.5
"189",37.5
"190",12.5
"191",17.5
"192",2
"193",2
"194",17.5
"195",27.5
"196",4
"197",8.5
"198",6
"199",4
"200",17.5
"201",12.5
"202",12.5
"203",2
"204",4
"205",12.5
"206",17.5
"207",12.5
"208",32.5
"209",8.5
"210",52.5
"211",2
"212",2
"213",2
"214",6
"215",2
"216",27.5
"217",22.5
"218",22.5
"219",2
"220",8.5
"221",2
"222",8.5
"223",8.5
"224",17.5
"225",2
"226",2
"227",37.5
"228",12.5
"229",22.5
"230",52.5
"231",8.5
"232",4
"233",22.5
"234",2
"235",6
"236",8.5
"237",32.5
"238",17.5
"239",2
"240",8.5
"241",12.5
"242",4
"243",2
"244",42.5
"245",2
"246",4
"247",6
"248",17.5
"249",17.5
"250",0.5
"251",8.5
"252",27.5
"253",4
"254",4
"255",2
"256",17.5
"257",12.5
"258",4
"259",17.5
"260",37.5
"261",6
"262",12.5
"263",8.5
"264",8.5
"265",12.5
"266",17.5
"267",22.5
"268",22.5
"269",6
"270",2
"271",47.5
"272",22.5
"273",8.5
"274",8.5
"275",0.5
"276",17.5
"277",37.5
"278",22.5
"279",4
"280",17.5
"281",27.5
"282",8.5
"283",4
"284",17.5
"285",22.5
"286",4
"287",0.5
"288",8.5
"289",2
"290",12.5
"291",12.5
"292",52.5
"293",8.5
"294",8.5
"295",62.5
"296",42.5
"297",12.5
"298",42.5
"299",12.5
"300",12.5
"301",12.5
"302",32.5
"303",12.5
"304",4
"305",2
"306",22.5
"307",22.5
"308",2
"309",22.5
"310",12.5
"311",8.5
"312",12.5
"313",8.5
"314",12.5
"315",8.5
"316",22.5
"317",17.5
"318",32.5
"319",12.5
"320",12.5
"321",17.5
"322",4
"323",8.5
"324",8.5
"325",8.5
"326",6
"327",12.5
"328",2
"329",8.5
"330",6
"331",0.5
"332",37.5
"333",2
"334",4
"335",8.5
"336",22.5
"337",2
"338",12.5
"339",4
"340",12.5
"341",2
"342",8.5
"343",42.5
"344",12.5
"345",2
"346",8.5
"347",2
"348",32.5
"349",4
"350",2
"351",12.5
"352",67.5
"353",2
"354",52.5
"355",6
"356",4
"357",2
"358",6
"359",6
"360",42.5
"361",12.5
"362",12.5
"363",12.5
"364",17.5
"365",2
"366",17.5
"367",6
"368",8.5
"369",57.5
"370",2
"371",4
"372",2
"373",12.5
"374",12.5
"375",17.5
"376",8.5
"377",8.5
"378",27.5
"379",22.5
"380",12.5
"381",0.5
"382",6
"383",22.5
"384",6
"385",4
"386",6
"387",22.5
"388",2
"389",2
"390",4
"391",4
"392",2
"393",8.5
"394",8.5
"395",8.5
"396",6
"397",6
"398",6
"399",12.5
"400",22.5
"401",2
"402",17.5
"403",42.5
"404",0.5
"405",8.5
"406",17.5
"407",8.5
"408",27.5
"409",2
"410",8.5
"411",37.5
"412",12.5
"413",4
"414",12.5
"415",8.5
"416",22.5
"417",8.5
"418",8.5
"419",8.5
"420",12.5
"421",0.5
"422",2
"423",4
"424",12.5
"425",0.5
"426",17.5
"427",2
"428",12.5
"429",22.5
"430",4
"431",8.5
"432",2
"433",37.5
"434",17.5
"435",22.5
"436",2
"437",4
"438",17.5
"439",2
"440",2
"441",4
"442",2
"443",4
"444",52.5
"445",17.5
"446",22.5
"447",27.5
"448",12.5
"449",27.5
"450",22.5
"451",6
"452",6
"453",12.5
"454",2
"455",6
"456",12.5
"457",17.5
"458",6
"459",8.5
"460",12.5
"461",2
"462",2
"463",8.5
"464",12.5
"465",8.5
"466",2
"467",6
"468",8.5
"469",27.5
"470",8.5
"471",32.5
"472",32.5
"473",27.5
"474",27.5
"475",47.5
"476",4
"477",2
"478",22.5
"479",12.5
"480",12.5
"481",17.5
"482",17.5
"483",17.5
"484",12.5
"485",12.5
"486",2
"487",22.5
"488",8.5
"489",17.5
"490",2
"491",6
"492",4
"493",17.5
"494",12.5
"495",17.5
"496",4
"497",17.5
"498",2
"499",12.5
"500",6
"501",37.5
"502",37.5
"503",6
"504",6
"505",12.5
"506",0.5
"507",22.5
"508",6
"509",4
"510",2
"511",8.5
"512",8.5
"513",22.5
"514",4
"515",17.5
"516",22.5
"517",8.5
"518",17.5
"519",17.5
"520",57.5
"521",42.5
