"","ID","Scenario","truck.share"
"1","1","Baseline",43.26
"2","2","Baseline",43.34
"3","3","Baseline",43.65
"4","4","Baseline",44.31
"5","5","Baseline",43.31
"6","6","Baseline",43.15
"7","7","Baseline",42.78
"8","8","Baseline",43.34
"9","9","Baseline",43.28
"10","10","Baseline",43
"11","11","Baseline",42.6
"12","12","Baseline",42.88
"13","13","Baseline",42.82
"14","14","Baseline",42.42
"15","15","Baseline",43.29
"16","16","Baseline",42.83
"17","17","Baseline",43.75
"18","18","Baseline",43.47
"19","19","Baseline",43.44
"20","20","Baseline",43.66
"21","21","Baseline",43.03
"22","22","Baseline",43.32
"23","23","Baseline",43.41
"24","24","Baseline",43.11
"25","25","Baseline",43.85
"26","26","Baseline",43.62
"27","27","Baseline",44.04
"28","28","Baseline",43.11
"29","29","Baseline",43.36
"30","30","Baseline",43.37
"31","31","Baseline",43.24
"32","32","Baseline",44.55
"33","33","Baseline",43.05
"34","34","Baseline",42.95
"35","35","Baseline",42.93
"36","36","Baseline",43.18
"37","37","Baseline",43.07
"38","38","Baseline",42.91
"39","39","Baseline",43.58
"40","40","Baseline",44.41
"41","41","Baseline",44.38
"42","42","Baseline",43.81
"43","43","Baseline",43.67
"44","44","Baseline",43.34
"45","45","Baseline",43.79
"46","46","Baseline",44.29
"47","47","Baseline",43.35
"48","48","Baseline",42.86
"49","49","Baseline",43.31
"50","50","Baseline",42.74
"51","51","Baseline",43.57
"52","52","Baseline",43.38
"53","53","Baseline",44.12
"54","54","Baseline",44.07
"55","55","Baseline",43.33
"56","56","Baseline",43.2
"57","57","Baseline",43.74
"58","58","Baseline",44.09
"59","59","Baseline",43.15
"60","60","Baseline",43.12
"61","61","Baseline",44.14
"62","62","Baseline",43.48
"63","63","Baseline",43.37
"64","64","Baseline",43.63
"65","65","Baseline",43.89
"66","66","Baseline",43.27
"67","67","Baseline",43.91
"68","68","Baseline",44.26
"69","69","Baseline",42.96
"70","70","Baseline",42.85
"71","71","Baseline",42.96
"72","72","Baseline",43.91
"73","73","Baseline",44.41
"74","74","Baseline",43.74
"75","75","Baseline",43.81
"76","76","Baseline",42.9
"77","77","Baseline",43.55
"78","78","Baseline",43.52
"79","79","Baseline",43.51
"80","80","Baseline",43.56
"81","81","Baseline",43.78
"82","82","Baseline",43.61
"83","83","Baseline",43.04
"84","84","Baseline",43.11
"85","85","Baseline",43.38
"86","86","Baseline",43.72
"87","87","Baseline",43.46
"88","88","Baseline",42.88
"89","89","Baseline",43.11
"90","90","Baseline",43.32
"91","91","Baseline",43.33
